Pin,PrimarySignal,Peripheral,Category,EnabledIn,ConflictGroup,Notes
PA0,WK_UP,GPIO,FirstApp,APP_BASE,PA0_WAKEUP,按键输入高有效建议下拉
PA1,RS485_DE,GPIO,Reserved,RS485_BOARD,RMII,未来RS485方向控制
PA2,USART2_TX,USART2,Reserved,RS485_BOARD,RMII,未来RS485发送
PA3,USART2_RX,USART2,Reserved,RS485_BOARD,NONE,未来RS485接收
PA4,STM_DAC,DAC1_OUT1,Optional,ANALOG_PROFILE,NONE,原理图网络名STM_DAC
PA5,DCMI_HREF,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头行同步
PA6,STM_ADC,ADC12_IN6,Optional,ANALOG_PROFILE,NONE,原理图网络名STM_ADC
PA7,DCMI_PCLK,DCMI,Optional,CAMERA_PROFILE,RMII,摄像头像素时钟
PA8,DCMI_XCLK,MCO1,Optional,CAMERA_PROFILE,NONE,摄像头外部时钟
PA9,USART1_TX,USART1,FirstBoth,BOOT_BASE|APP_BASE,USB_VBUS,连接CH340和JP3
PA10,USART1_RX,USART1,FirstBoth,BOOT_BASE|APP_BASE,NONE,连接CH340和JP3
PA11,USB_D-,USB_OTG_FS,Study,USB_DEVICE_LAB,CAN1,Device模式且关闭VBUS sensing
PA12,USB_D+,USB_OTG_FS,Study,USB_DEVICE_LAB,CAN1,Device模式且关闭VBUS sensing
PA13,SWDIO,SYS,Fixed,BOOT_BASE|APP_BASE,NONE,仅启用Serial Wire
PA14,SWCLK,SYS,Fixed,BOOT_BASE|APP_BASE,NONE,仅启用Serial Wire
PB0,T_SCK,GPIO,Optional,LCD_TOUCH_PROFILE,NONE,触摸时钟网络
PB1,T_PEN,GPIO_EXTI,Optional,LCD_TOUCH_PROFILE,NONE,触摸中断网络
PB2,T_MISO,GPIO,Optional,LCD_TOUCH_PROFILE,BOOT1,同时为BOOT1复用脚
PB3,W25Q128_SCK,SPI1,FirstBoth,BOOT_BASE|APP_BASE,JTAG,AF5需释放JTAG
PB4,W25Q128_MISO,SPI1,FirstBoth,BOOT_BASE|APP_BASE,JTAG,AF5需释放JTAG
PB5,W25Q128_MOSI,SPI1,FirstBoth,BOOT_BASE|APP_BASE,NONE,AF5
PB6,DCMI_D5,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头数据5
PB7,DCMI_VSYNC,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头场同步
PB8,EEPROM_SCL,I2C1,FirstApp,APP_BASE,CAN1,板载4.7k上拉
PB9,EEPROM_SDA,I2C1,FirstApp,APP_BASE,CAN1,板载4.7k上拉
PB12,CAN2_RX,CAN2,Reserved,CAN_BOARD,SPI2,需外部CAN收发器
PB13,CAN2_TX,CAN2,Reserved,CAN_BOARD,SPI2,需外部CAN收发器
PB14,W25Q128_CS,GPIO,FirstBoth,BOOT_BASE|APP_BASE,NONE,低有效上电保持高
PB15,LCD_BL,GPIO,Optional,LCD_PROFILE,SPI2,液晶背光控制
PC6,DCMI_D0,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头数据0
PC7,DCMI_D1,DCMI,Optional,CAMERA_PROFILE,NONE,摄像头数据1
